Smiles,Standard Value,Standardized Smiles
COc1ncc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)N[C@H]3CC[C@H](O)C3)c2n1,524.0,COc1ncc(F)cc1[C@H]1CCCN1c1ccn2ncc(C(=O)N[C@H]3CC[C@H](O)C3)c2n1
O=C(NCc1ccco1)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,202.0,O=C(NCc1ccco1)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
Cc1cc(-c2cccc3ncc(-c4ccc(C(=O)N5CCOCC5)c(C)c4)nc23)ccc1CN1CCOCC1,13.0,Cc1cc(-c2cccc3ncc(-c4ccc(C(=O)N5CCOCC5)c(C)c4)nc23)ccc1CN1CCOCC1
Cc1cc(Nc2nc(N3CCNCC3)nn3cccc23)n[nH]1,31.0,Cc1cc(Nc2nc(N3CCNCC3)nn3cccc23)[nH]n1
Cc1cnc(Nc2cncc(N[C@@H](C)c3ncc(F)cn3)n2)s1,4.0,Cc1cnc(Nc2cncc(N[C@@H](C)c3ncc(F)cn3)n2)s1
Cc1cnc(Nc2cc(N3CCOCC3)nc(N[C@@H](C)c3ncc(F)cn3)n2)s1,3.0,Cc1cnc(Nc2cc(N3CCOCC3)nc(N[C@@H](C)c3ncc(F)cn3)n2)s1
CCCc1nc2ccccc2c(=O)n1/N=C/c1ccc(O)c(O)c1,3619.0,CCCc1nc2ccccc2c(=O)n1N=Cc1ccc(O)c(O)c1
COc1ccccc1C(C[N+](=O)[O-])c1c(N)n(C)c(=O)n(C)c1=O,6492.0,COc1ccccc1C(C[N+](=O)[O-])c1c(N)n(C)c(=O)n(C)c1=O
COc1ccc(N2CCc3c(C)nc4c(OC)cc(OC)cc4c32)c(OC)c1,8322.0,COc1ccc(N2CCc3c(C)nc4c(OC)cc(OC)cc4c32)c(OC)c1
Cc1ccc2nc(C)cc(Nc3ccc([N+](=O)[O-])cc3)c2c1,3311.0,Cc1ccc2nc(C)cc(Nc3ccc([N+](=O)[O-])cc3)c2c1
O=C(CCl)N(C/C=C/c1ccccc1)c1ccc2c(c1)OCCO2,2506.0,O=C(CCl)N(C/C=C/c1ccccc1)c1ccc2c(c1)OCCO2
Cc1oc2c(O)c(O)ccc2c(=O)c1-c1cnn(-c2ccccc2)c1,2966.0,Cc1oc2c(O)c(O)ccc2c(=O)c1-c1cnn(-c2ccccc2)c1
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,4613.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
CC1CCCN(CCCNC(=O)c2cc3c(Cl)nc4ccccc4c3s2)C1,3503.0,CC1CCCN(CCCNC(=O)c2cc3c(Cl)nc4ccccc4c3s2)C1
O=S(=O)(c1cnc(Cl)c(Cl)c1)N1CCc2ccccc21,15840.0,O=S(=O)(c1cnc(Cl)c(Cl)c1)N1CCc2ccccc21
CS(=O)(=O)c1nc(-c2ccco2)cc(C(F)(F)F)n1,2283.0,CS(=O)(=O)c1nc(-c2ccco2)cc(C(F)(F)F)n1
CCOc1ccc(C(=O)C(CN2CCOCC2)c2ccccc2)cc1.Cl,2404.0,CCOc1ccc(C(=O)C(CN2CCOCC2)c2ccccc2)cc1
